country,prompt,word_count,token_count,Responce Time,No of VMs
Antigua and Barbuda,What is the capital of Antigua and Barbuda?,8,9,1569.5674419403076,5
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina?,8,9,941.06125831604,5
Central African Republic,What is the capital of Central African Republic?,8,9,957.5521945953369,5
Eswatini,What is the capital of Eswatini?,6,9,951.9946575164795,5
Micronesia,What is the capital of Micronesia?,6,9,1190.0053024291992,5
Papua New Guinea,What is the capital of Papua New Guinea?,8,9,951.9119262695312,5
Trinidad and Tobago,What is the capital of Trinidad and Tobago?,8,9,949.9976634979248,5
United Arab Emirates,What is the capital of United Arab Emirates?,8,9,1181.6637516021729,5
State of Palestine,What is the capital of State of Palestine?,8,9,1166.4140224456787,5
Afghanistan,What is the year of independence of Afghanistan?,8,9,932.114839553833,5
Albania,What is the year of independence of Albania?,8,9,930.2346706390381,5
Algeria,What is the year of independence of Algeria?,8,9,926.1727333068848,5
Andorra,What is the year of independence of Andorra?,8,9,924.5998859405518,5
Angola,What is the year of independence of Angola?,8,9,932.8494071960449,5
Argentina,What is the year of independence of Argentina?,8,9,936.9051456451416,5
Armenia,What is the year of independence of Armenia?,8,9,929.1813373565674,5
Australia,What is the year of independence of Australia?,8,9,946.3076591491699,5
Austria,What is the year of independence of Austria?,8,9,927.858829498291,5
Azerbaijan,What is the year of independence of Azerbaijan?,8,9,923.0780601501465,5
Bahamas,What is the year of independence of Bahamas?,8,9,932.1863651275635,5
Bahrain,What is the year of independence of Bahrain?,8,9,928.663969039917,5
Bangladesh,What is the year of independence of Bangladesh?,8,9,925.29296875,5
Barbados,What is the year of independence of Barbados?,8,9,935.8816146850586,5
Belarus,What is the year of independence of Belarus?,8,9,933.3360195159912,5
Belgium,What is the year of independence of Belgium?,8,9,946.427583694458,5
Belize,What is the year of independence of Belize?,8,9,930.405855178833,5
Benin,What is the year of independence of Benin?,8,9,928.7846088409424,5
Bhutan,What is the year of independence of Bhutan?,8,9,928.4391403198242,5
Bolivia,What is the year of independence of Bolivia?,8,9,925.8818626403809,5
Botswana,What is the year of independence of Botswana?,8,9,925.6486892700195,5
Brazil,What is the year of independence of Brazil?,8,9,936.5508556365967,5
Brunei,What is the year of independence of Brunei?,8,9,931.5309524536133,5
Bulgaria,What is the year of independence of Bulgaria?,8,9,935.7364177703857,5
Burundi,What is the year of independence of Burundi?,8,9,932.9686164855957,5
Cambodia,What is the year of independence of Cambodia?,8,9,927.6719093322754,5
Cameroon,What is the year of independence of Cameroon?,8,9,965.7905101776123,5
Canada,What is the year of independence of Canada?,8,9,922.6629734039307,5
Chad,What is the year of independence of Chad?,8,9,920.7007884979248,5
Chile,What is the year of independence of Chile?,8,9,933.5122108459473,5
China,What is the year of independence of China?,8,9,929.4099807739258,5
Colombia,What is the year of independence of Colombia?,8,9,930.8373928070068,5
Croatia,What is the year of independence of Croatia?,8,9,925.5189895629883,5
Cuba,What is the year of independence of Cuba?,8,9,924.7243404388428,5
Cyprus,What is the year of independence of Cyprus?,8,9,926.790714263916,5
Denmark,What is the year of independence of Denmark?,8,9,935.1096153259277,5
Djibouti,What is the year of independence of Djibouti?,8,9,930.4924011230469,5
Dominica,What is the year of independence of Dominica?,8,9,924.3388175964355,5
Ecuador,What is the year of independence of Ecuador?,8,9,928.4536838531494,5
Egypt,What is the year of independence of Egypt?,8,9,923.8066673278809,5
Eritrea,What is the year of independence of Eritrea?,8,9,927.5832176208496,5
Estonia,What is the year of independence of Estonia?,8,9,932.8625202178955,5
Ethiopia,What is the year of independence of Ethiopia?,8,9,927.4590015411377,5
Fiji,What is the year of independence of Fiji?,8,9,921.2608337402344,5
Finland,What is the year of independence of Finland?,8,9,934.9584579467773,5
France,What is the year of independence of France?,8,9,926.8326759338379,5
Gabon,What is the year of independence of Gabon?,8,9,925.8887767791748,5
Gambia,What is the year of independence of Gambia?,8,9,931.6534996032715,5
Georgia,What is the year of independence of Georgia?,8,9,941.6770935058594,5
Germany,What is the year of independence of Germany?,8,9,930.504322052002,5
Ghana,What is the year of independence of Ghana?,8,9,923.4194755554199,5
Greece,What is the year of independence of Greece?,8,9,948.9820003509521,5
Grenada,What is the year of independence of Grenada?,8,9,928.633451461792,5
Guatemala,What is the year of independence of Guatemala?,8,9,926.6316890716553,5
Guinea,What is the year of independence of Guinea?,8,9,948.7571716308594,5
Guinea-Bissau,What is the year of independence of Guinea-Bissau?,9,9,925.7662296295166,5
Guyana,What is the year of independence of Guyana?,8,9,929.0270805358887,5
Haiti,What is the year of independence of Haiti?,8,9,928.5116195678711,5
Honduras,What is the year of independence of Honduras?,8,9,928.8861751556396,5
Hungary,What is the year of independence of Hungary?,8,9,942.333459854126,5
Iceland,What is the year of independence of Iceland?,8,9,930.429220199585,5
India,What is the year of independence of India?,8,9,930.3545951843262,5
Indonesia,What is the year of independence of Indonesia?,8,9,926.8820285797119,5
Iran,What is the year of independence of Iran?,8,9,927.9673099517822,5
Iraq,What is the year of independence of Iraq?,8,9,927.1321296691895,5
Ireland,What is the year of independence of Ireland?,8,9,923.9604473114014,5
Israel,What is the year of independence of Israel?,8,9,921.7345714569092,5
Italy,What is the year of independence of Italy?,8,9,929.2881488800049,5
Jamaica,What is the year of independence of Jamaica?,8,9,933.1614971160889,5
Japan,What is the year of independence of Japan?,8,9,936.9640350341797,5
Jordan,What is the year of independence of Jordan?,8,9,926.0878562927246,5
Kazakhstan,What is the year of independence of Kazakhstan?,8,9,934.5431327819824,5
Kenya,What is the year of independence of Kenya?,8,9,937.8154277801514,5
Kiribati,What is the year of independence of Kiribati?,8,9,935.2240562438965,5
Kuwait,What is the year of independence of Kuwait?,8,9,951.8210887908936,5
Kyrgyzstan,What is the year of independence of Kyrgyzstan?,8,9,941.4172172546387,5
Laos,What is the year of independence of Laos?,8,9,932.7273368835449,5
Latvia,What is the year of independence of Latvia?,8,9,952.6922702789307,5
Lebanon,What is the year of independence of Lebanon?,8,9,925.839900970459,5
Lesotho,What is the year of independence of Lesotho?,8,9,925.8732795715332,5
Liberia,What is the year of independence of Liberia?,8,9,925.0941276550293,5
Libya,What is the year of independence of Libya?,8,9,955.5068016052246,5
Liechtenstein,What is the year of independence of Liechtenstein?,8,9,927.7713298797607,5
Lithuania,What is the year of independence of Lithuania?,8,9,920.4146862030029,5
Luxembourg,What is the year of independence of Luxembourg?,8,9,921.0810661315918,5
Madagascar,What is the year of independence of Madagascar?,8,9,946.8932151794434,5
Malawi,What is the year of independence of Malawi?,8,9,928.6530017852783,5
Malaysia,What is the year of independence of Malaysia?,8,9,933.037519454956,5
Maldives,What is the year of independence of Maldives?,8,9,956.101655960083,5
Mali,What is the year of independence of Mali?,8,9,937.6485347747803,5
Malta,What is the year of independence of Malta?,8,9,944.3471431732178,5
Mauritania,What is the year of independence of Mauritania?,8,9,951.9484043121338,5
Mauritius,What is the year of independence of Mauritius?,8,9,932.2001934051514,5
Mexico,What is the year of independence of Mexico?,8,9,924.325704574585,5
Moldova,What is the year of independence of Moldova?,8,9,931.8771362304688,5
