Model,No_Of_VMs,Prompt,Token_Length,Response_Time_ms,Throughput_tok_s,VM1_metrics
bigscience/bloomz-560m,1,What is the capital of Afghanistan?,7,1053.25,8.545,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":89.092,""count"":26,""max"":98.5,""min"":0.0},""flow_recv_mb"":{""avg"":0.003,""count"":26,""max"":0.047118186950683594,""min"":0.0},""flow_sent_mb"":{""avg"":0.004,""count"":26,""max"":0.051795005798339844,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.901,""count"":26,""max"":9.1368735249937,""min"":0.0},""memory_percent"":{""avg"":51.888,""count"":26,""max"":52.0,""min"":51.1},""memory_used_mb"":{""avg"":4093.692,""count"":26,""max"":4103,""min"":4036},""petals_cpu_percent"":{""avg"":63.5,""count"":26,""max"":145.4,""min"":0.0},""petals_mem_mb"":{""avg"":10518.0,""count"":26,""max"":10518,""min"":10518},""petals_proc_count"":{""avg"":10.0,""count"":26,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":26,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Albania?,7,1214.52,8.234,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":84.429,""count"":31,""max"":91.0,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":31,""max"":0.029483795166015625,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":31,""max"":0.031097412109375,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.416,""count"":31,""max"":4.974985969006139,""min"":0.0},""memory_percent"":{""avg"":52.013,""count"":31,""max"":52.1,""min"":52.0},""memory_used_mb"":{""avg"":4107.097,""count"":31,""max"":4108,""min"":4103},""petals_cpu_percent"":{""avg"":74.626,""count"":31,""max"":475.0,""min"":0.0},""petals_mem_mb"":{""avg"":10518.548,""count"":31,""max"":10519,""min"":10518},""petals_proc_count"":{""avg"":10.0,""count"":31,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":31,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Algeria?,7,1207.34,8.283,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":89.736,""count"":33,""max"":100.0,""min"":88.3},""flow_recv_mb"":{""avg"":0.002,""count"":33,""max"":0.02881622314453125,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":33,""max"":0.029811859130859375,""min"":0.0},""flow_throughput_mbps"":{""avg"":2.767,""count"":33,""max"":82.1306044605829,""min"":0.0},""memory_percent"":{""avg"":52.1,""count"":33,""max"":52.1,""min"":52.1},""memory_used_mb"":{""avg"":4108.0,""count"":33,""max"":4108,""min"":4108},""petals_cpu_percent"":{""avg"":75.882,""count"":33,""max"":294.9,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":33,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":33,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":33,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Andorra?,7,962.87,9.347,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":87.068,""count"":28,""max"":94.1,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":28,""max"":0.032294273376464844,""min"":0.0},""flow_sent_mb"":{""avg"":0.004,""count"":28,""max"":0.07982635498046875,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.169,""count"":28,""max"":19.26584606904635,""min"":0.0},""memory_percent"":{""avg"":52.1,""count"":28,""max"":52.1,""min"":52.1},""memory_used_mb"":{""avg"":4108.0,""count"":28,""max"":4108,""min"":4108},""petals_cpu_percent"":{""avg"":64.607,""count"":28,""max"":245.9,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":28,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":28,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":28,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Angola?,7,977.62,9.206,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":89.181,""count"":31,""max"":94.7,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":31,""max"":0.029033660888671875,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":31,""max"":0.0301666259765625,""min"":0.0},""flow_throughput_mbps"":{""avg"":2.524,""count"":31,""max"":48.22366866927511,""min"":0.0},""memory_percent"":{""avg"":52.1,""count"":31,""max"":52.1,""min"":52.1},""memory_used_mb"":{""avg"":4108.0,""count"":31,""max"":4108,""min"":4108},""petals_cpu_percent"":{""avg"":61.523,""count"":31,""max"":222.2,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":31,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":31,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":31,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Antigua and Barbuda?,9,1070.44,10.276,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":89.008,""count"":26,""max"":94.7,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":26,""max"":0.037250518798828125,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":26,""max"":0.0389251708984375,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.722,""count"":26,""max"":8.786598817278188,""min"":0.0},""memory_percent"":{""avg"":52.115,""count"":26,""max"":52.2,""min"":52.1},""memory_used_mb"":{""avg"":4112.077,""count"":26,""max"":4119,""min"":4108},""petals_cpu_percent"":{""avg"":64.723,""count"":26,""max"":136.0,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":26,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":26,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":26,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Argentina?,7,1239.99,8.065,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":90.21,""count"":39,""max"":95.9,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":39,""max"":0.029315948486328125,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":39,""max"":0.03108978271484375,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.764,""count"":39,""max"":20.81644015005044,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":39,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4119.051,""count"":39,""max"":4120,""min"":4119},""petals_cpu_percent"":{""avg"":74.459,""count"":39,""max"":504.3,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":39,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":39,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":39,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Armenia?,7,994.11,9.053,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":90.613,""count"":32,""max"":99.1,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":32,""max"":0.029294967651367188,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":32,""max"":0.03144073486328125,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.793,""count"":32,""max"":12.582121740178993,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":32,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4119.906,""count"":32,""max"":4120,""min"":4119},""petals_cpu_percent"":{""avg"":75.072,""count"":32,""max"":446.8,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":32,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":32,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":32,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Australia?,7,1022.69,8.8,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":92.956,""count"":27,""max"":97.8,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":27,""max"":0.029132843017578125,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":27,""max"":0.031391143798828125,""min"":0.0},""flow_throughput_mbps"":{""avg"":10.419,""count"":27,""max"":246.0224826873385,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":27,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":27,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":54.711,""count"":27,""max"":162.9,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":27,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":27,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":27,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Austria?,7,1085.15,8.294,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":94.068,""count"":34,""max"":97.6,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":34,""max"":0.029132843017578125,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":34,""max"":0.049312591552734375,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.283,""count"":34,""max"":22.298665229376812,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":34,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":34,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":74.656,""count"":34,""max"":554.0,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":34,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":34,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":34,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Azerbaijan?,7,1627.3,6.76,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":95.282,""count"":51,""max"":97.5,""min"":92.1},""flow_recv_mb"":{""avg"":0.001,""count"":51,""max"":0.03290843963623047,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":51,""max"":0.03675365447998047,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.502,""count"":51,""max"":10.73256371127809,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":51,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.02,""count"":51,""max"":4121,""min"":4120},""petals_cpu_percent"":{""avg"":58.069,""count"":51,""max"":171.7,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":51,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":51,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":51,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bahamas?,7,1340.32,7.461,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":96.761,""count"":31,""max"":100.0,""min"":94.2},""flow_recv_mb"":{""avg"":0.002,""count"":31,""max"":0.0301513671875,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":31,""max"":0.0313720703125,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.696,""count"":31,""max"":11.45943057726392,""min"":0.0},""memory_percent"":{""avg"":52.3,""count"":31,""max"":52.3,""min"":52.3},""memory_used_mb"":{""avg"":4125.0,""count"":31,""max"":4125,""min"":4125},""petals_cpu_percent"":{""avg"":83.855,""count"":31,""max"":273.0,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":31,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":31,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":31,""max"":179,""min"":179}}}"
